iteracion,subset,f1_score
290,"['web_traffic', 'Page_Rank', 'RightClick', 'double_slash_redirecting', 'SFH']",0.730195177956372
352,"['HTTPS_token', 'URL_Length', 'Request_URL', 'Domain_registeration_length', 'having_Sub_Domain']",0.729988510149368
443,"['Links_in_tags', 'having_At_Symbol', 'web_traffic', 'Links_pointing_to_page', 'Page_Rank']",0.7296669248644462
188,"['Redirect', 'having_Sub_Domain', 'Links_in_tags', 'Iframe', 'Domain_registeration_length']",0.7287004318806439
328,"['double_slash_redirecting', 'web_traffic', 'Abnormal_URL', 'Links_pointing_to_page', 'HTTPS_token']",0.7284872298624755
415,"['popUpWidnow', 'web_traffic', 'HTTPS_token', 'Shortining_Service', 'Request_URL']",0.7284086732818816
76,"['Iframe', 'age_of_domain', 'web_traffic', 'Abnormal_URL', 'popUpWidnow']",0.7282204020848846
384,"['age_of_domain', 'HTTPS_token', 'web_traffic', 'double_slash_redirecting', 'Abnormal_URL']",0.7279874213836478
314,"['Domain_registeration_length', 'Links_in_tags', 'Google_Index', 'Favicon', 'having_Sub_Domain']",0.7276870489935435
456,"['Request_URL', 'RightClick', 'web_traffic', 'port', 'Page_Rank']",0.7269345238095238
334,"['Google_Index', 'web_traffic', 'Abnormal_URL', 'HTTPS_token', 'Shortining_Service']",0.7256493506493507
155,"['Google_Index', 'having_At_Symbol', 'Links_in_tags', 'double_slash_redirecting', 'web_traffic']",0.7256217923410975
278,"['Request_URL', 'having_Sub_Domain', 'Statistical_report', 'on_mouseover', 'Submitting_to_email']",0.7244897959183674
209,"['SFH', 'having_Sub_Domain', 'HTTPS_token', 'web_traffic', 'Domain_registeration_length']",0.723404255319149
100,"['Google_Index', 'Domain_registeration_length', 'Submitting_to_email', 'SFH', 'Links_pointing_to_page']",0.7217423957942171
304,"['having_IP_Address', 'URL_Length', 'port', 'web_traffic', 'Favicon']",0.7212504652028284
180,"['URL_Length', 'Domain_registeration_length', 'Request_URL', 'port', 'having_Sub_Domain']",0.7207920792079208
